service_id,service_request_id,service_category,service_type,function
215,8,Category 2,Basic Maintenance of Internal Connections,Racks
216,10,Category 2,Basic Maintenance of Internal Connections,Routers
217,12,Category 2,Internal Connections,Racks
218,4,Category 1,Data Transmission and/or Internet Access,Services Provided Over Third-Party Networks
219,5,Category 2,Basic Maintenance of Internal Connections,Routers
220,2,Category 2,Internal Connections,Caching and Necessary Software and Licenses
221,7,Category 2,Internal Connections,Caching and Necessary Software and Licenses
222,6,Category 2,Internal Connections,Caching and Necessary Software and Licenses
223,3,Category 2,Basic Maintenance of Internal Connections,Routers
224,8,Category 2,Internal Connections,Wireless Access Points and Necessary Software and Licenses
225,3,Category 2,Basic Maintenance of Internal Connections,"Antennas, Connectors, and Related Components"
226,5,Category 1,Data Transmission and/or Internet Access,Category One Network Equipment
227,6,Category 2,Internal Connections,Wireless Controllers and Necessary Software and Licenses
228,7,Category 2,Basic Maintenance of Internal Connections,Routers
229,8,Category 2,Basic Maintenance of Internal Connections,Firewall Service and Components
230,9,Category 2,Basic Maintenance of Internal Connections,Routers
231,5,Category 1,Data Transmission and/or Internet Access,Standalone Internet Access Service
232,10,Category 2,Internal Connections,Wireless Access Points and Necessary Software and Licenses
233,1,Category 2,Basic Maintenance of Internal Connections,Racks
234,8,Category 2,Managed Internal Broadband Services,Leased Equipment
235,24,Category 2,Internal Connections,Wireless Access Points and Necessary Software and Licenses
236,9,Category 2,Internal Connections,Cabling
237,3,Category 2,Basic Maintenance of Internal Connections,Wireless Controllers
238,8,Category 2,Internal Connections,Uninterruptable Power Supply/Battery Backup and Necessary Software and Licenses
239,14,Category 2,Basic Maintenance of Internal Connections,Wireless Access Points
240,8,Category 2,Internal Connections,Racks
241,10,Category 2,Internal Connections,Switches and Necessary Software and Licenses
242,5,Category 2,Internal Connections,Routers and Necessary Software and Licenses
243,6,Category 2,Basic Maintenance of Internal Connections,Racks
244,14,Category 2,Basic Maintenance of Internal Connections,Switches
245,14,Category 2,Internal Connections,Cabling
246,8,Category 2,Managed Internal Broadband Services,Existing Equipment
247,13,Category 2,Internal Connections,"Antennas, Connectors, and Related Components"
248,11,Category 2,Basic Maintenance of Internal Connections,Cabling
249,4,Category 2,Internal Connections,Caching and Necessary Software and Licenses
250,7,Category 2,Internal Connections,Racks
251,10,Category 2,Basic Maintenance of Internal Connections,Switches
252,16,Category 2,Internal Connections,Cabling
253,17,Category 2,Internal Connections,Racks
254,6,Category 1,Data Transmission and/or Internet Access,Leased Lit Fiber
255,34,Category 2,Basic Maintenance of Internal Connections,Switches
256,11,Category 2,Basic Maintenance of Internal Connections,Racks
257,18,Category 2,Internal Connections,Switches and Necessary Software and Licenses
258,9,Category 2,Internal Connections,Wireless Controllers and Necessary Software and Licenses
259,12,Category 2,Basic Maintenance of Internal Connections,Routers
260,11,Category 2,Internal Connections,"Antennas, Connectors, and Related Components"
261,9,Category 2,Internal Connections,Switches and Necessary Software and Licenses
262,4,Category 2,Internal Connections,Routers and Necessary Software and Licenses
263,12,Category 2,Internal Connections,Routers and Necessary Software and Licenses
264,9,Category 2,Basic Maintenance of Internal Connections,Switches
265,8,Category 2,Internal Connections,"Antennas, Connectors, and Related Components"
266,8,Category 2,Basic Maintenance of Internal Connections,Caching
267,12,Category 2,Basic Maintenance of Internal Connections,Wireless Access Points
